Kanji,Kana,English,Topic
遥々,はるばる,From afar. Over a great distance. ,ドラえもん第1巻
気に触る,きにさわる,To hurt somebody’s feelings. To rub someone the wrong way,ドラえもん第1巻
一遍に,いっぺんに,All at once. All in one sitting. ,ドラえもん第1巻
恐ろしい,おそろしい,Terrible. Dreadful. Frightening,ドラえもん第1巻
運命,うんめい,Fate. Destiny,ドラえもん第1巻
救い,すくい,Help. Relief. Grace. ,ドラえもん第1巻
火あぶり,ひあぶり,Burning to death ,ドラえもん第1巻
ろくな,ろくな,Satisfactory. Decent,ドラえもん第1巻
作戦,さくせん,Tactics. Strategy. Military operation.,ドラえもん第1巻
まし,まし,Better. Less objectionable,ドラえもん第1巻
文句,もんく,Complaining. Grumbling,ドラえもん第1巻
余計,よけい,Too much. Excessive,ドラえもん第1巻
余計なお世話,よけいなおせわ,None of your business,ドラえもん第1巻
大した,たいした,Considerable. Important. Big deal.,ドラえもん第1巻
空想,くうそう,Daydream. Fantasy,ドラえもん第1巻
借金,しゃっきん,Debt. Loan. Liabilities,ドラえもん第1巻
年玉,としだま,New Years gift ,ドラえもん第1巻
釣り合い,つりあい,Balance. Equilibrium,ドラえもん第1巻
付き切り,つききり,Constant attendance. Uninterrupted supervision,ドラえもん第1巻
全治,ぜんち,Complete recovery,ドラえもん第1巻
断る,ことわる,Refuse. Reject. Dismiss,ドラえもん第1巻
大げさ,おおげさ,Grandiose. Exaggerated ,ドラえもん第1巻
よせよ,よせよ,Oh for heavens sake.,ドラえもん第1巻
うっかり,うっかり,Carelessly. Thoughtlessly. Inadvertently,ドラえもん第1巻
危険,きけん,Danger,ドラえもん第1巻
無茶,むちゃ,Absurd. Unreasonable. Excessive. Rash,ドラえもん第1巻
効き目,ききめ,Effect. Virtue. Efficacy. Impression,ドラえもん第1巻
厄介,やっかい,Trouble. Worry. Nuisance,ドラえもん第1巻
しかる,しかる,To scold. To reprimand,ドラえもん第1巻
ママにしかられる,ママにしかられる,Mother will scold me,ドラえもん第1巻
さっぱり,さっぱり,Feeling refreshed. Relieved. Frank. Simple.  completely. Entirely  ,ドラえもん第1巻
お構いなく,おかまいなく,Please don’t go to any trouble. Don’t bother,ドラえもん第1巻
すくむ,すくむ,To freeze from fear,ドラえもん第1巻
当番,とうばん,Being on duty. Person on duty,ドラえもん第1巻
サボる,さぼる,To play hooky. To be truant,ドラえもん第1巻
引き受け,ひきうけ,Undertaking. Acceptance,ドラえもん第1巻
おまじない,おまじない,Abracadabra,ドラえもん第1巻
呪文,じゅもん,Magic spell. Incantation. Charm,ドラえもん第1巻
小遣い,こづかい,Pocket money. Spending money,ドラえもん第1巻
腹が立つ,はらがたつ,To get angry,ドラえもん第1巻
仕返し,しかえし,Tit got tat. Revenge,ドラえもん第1巻
探る,さぐる,Feel around for. Fumble for,ドラえもん第1巻
ばらす,ばらす,To expose. To lay bare,ドラえもん第1巻
脅かす,おどかす,To threaten. To menace,ドラえもん第1巻
まだまだ,まだまだ,Still some way to go before the goal,ドラえもん第1巻
決定的,けっていてき,Definitive. Final. Decisive,ドラえもん第1巻
握る,にぎる,To hold. To grasp,ドラえもん第1巻
ザマ,ざま,Mess. Sorry state. Plight,ドラえもん第1巻
オムツ,おむつ,Diaper. Nappy. Napkin,ドラえもん第1巻
模範,もはん,Exemplar. Example. Model. Pattern,ドラえもん第1巻
ムシャクシャ,むしゃくしゃ,Vexed. Irritated. Ragged. Baggy.   ,ドラえもん第1巻
花瓶,かびん,Flower vase,ドラえもん第1巻
裸,はだか,Naked. Uncovered,ドラえもん第1巻
逆立つ,さかだつ,Stand on end. Bristle up. ,ドラえもん第1巻
抜け出す,ぬけだす,To slip away. To sneak out,ドラえもん第1巻
音波,おんば,Sound wave,ドラえもん第1巻
神経,しんけい,Nerves. Sensitivity,ドラえもん第1巻
勿体ない,もったいない,What a waste. Wasteful. More than one deserves. Profane. Sacrilegious  ,ドラえもん第1巻
うんと,うんと,A great deal. A lot. With a lot of effort,ドラえもん第1巻
叶う,かなう,To come true (a wish),ドラえもん第1巻
殴り合い,なぐりあい,Fist fight ,ドラえもん第1巻
強盗,ごうとう,Robber. Burglar. Robbery. Burglary,ドラえもん第1巻
きちんと,きちんと,Orderly. Tidy. Properly. Precisely. Accurately,ドラえもん第1巻
盛ん,さかん,Popular. Prosperous. Enthusiastic. Virtuous  ,ドラえもん第1巻
鉱石,こうせき,Mineral. Ore. ,ドラえもん第1巻
先祖,せんぞ,Ancestor,ドラえもん第1巻
ジャンジャン,じゃんじゃん,Clanging of a bell. Continuously. One after another ,ドラえもん第1巻
盤,たらい,Wash basin. Washtub,ドラえもん第1巻
なるべく,なるべく,As much as possible,ドラえもん第1巻
火打ち石,ひうちいし,Flint,ドラえもん第1巻
なら,なら,If. In the case that....,ドラえもん第1巻
避ける,よける,To avoid physical contact with,ドラえもん第1巻
蹴る,ける,To kick. To refuse. To reject ,ドラえもん第1巻
ぽっち,ぽっち,A little. Merely,ドラえもん第1巻
思い知らず,おもいしらす,To make someone understand. Make them  realize their mistake,ドラえもん第1巻
よっぽと,よっぽど,Greatly. To a large extent,ドラえもん第1巻
反省,はんせい,Reflection. Reconsideration. Introspection,ドラえもん第1巻
つくづく,つくづく,Deeply. Clearly. Keenly. Severely. Utterly  ,ドラえもん第1巻
殴る,なぐる,To beat. To strike. To punch,ドラえもん第1巻
せっかく,せっかく,With great pains. At great expense. Rare. Valuable  ,ドラえもん第1巻
罪,つみ,Guilt. Sin. Crime,ドラえもん第1巻
とんでもない,とんでもない,Unthinkable. Outrageous. Unexpected. Offensive  ,ドラえもん第1巻
まずい,まずい,Bad taste. poor quality. Crude. Unsavory,ドラえもん第1巻
故障,こしょう,Breakdown. Fault. Accident,ドラえもん第1巻
一匹,いっぴき,One small animal,ドラえもん第1巻
こしょう,こしょう,Pepper. Black pepper. ,ドラえもん第1巻
優等生,ゆうとうせい,Honor student ,ドラえもん第1巻
白状,はくじょう,Confession,ドラえもん第1巻
チッポケ,ちっぽけ,Small. Tiny,ドラえもん第1巻
ぞっと,ぞっと,Shuddering. Shivering. Being horrified,ドラえもん第1巻
呼び止める,よびとめる,To call and stop someone,ドラえもん第1巻
つまんない,つまんない,Dull. Boring,ドラえもん第1巻
前科,ぜんか,Previous conviction. Criminal record,ドラえもん第1巻
当たり前,あたりまえ,Natural. Reasonable. Commonplace,ドラえもん第1巻
空き巣,あきす,Empty house. Empty nest. ,ドラえもん第1巻
怪人,かいじん,Mysterious person,ドラえもん第1巻
石川五右衛門,いしかわごえもん,Ishikawa Goemon. Legendary Japanese criminal hero. Like Robin Hood,ドラえもん第1巻
面相,めんそう,Features. Looks. Appearance,ドラえもん第1巻
光化学スモッグ,こうかがくすもっぐ,Photochemical smog,ドラえもん第1巻
お辞儀,おじぎ,To bow. Bowing,ドラえもん第1巻
家宝,かほう,Heirloom,ドラえもん第1巻
それ以来,それいらい,Ever since that time. Since then,ドラえもん第1巻
家老,かろう,Chief retainer. Daimyo’s minister,ドラえもん第1巻
偉い,えらい,Great. Excellent,ドラえもん第1巻
